0.00, 0.00 
1.00, 1.00 
2.00, 1.41 
3.00, 1.73 
4.00, 2.00 
5.00, 2.24 
6.00, 2.45 
7.00, 2.65 
8.00, 2.83 
9.00, 3.00 
10.00, 3.16 
11.00, 3.32 
12.00, 3.46 
13.00, 3.61 
14.00, 3.74 
15.00, 3.87 
16.00, 4.00 
17.00, 4.12 
18.00, 4.24 
19.00, 4.36 
20.00, 4.47 
21.00, 4.58 
22.00, 4.69 
23.00, 4.80 
24.00, 4.90 
25.00, 5.00 
26.00, 5.10 
27.00, 5.20 
28.00, 5.29 
29.00, 5.39 
30.00, 5.48 
31.00, 5.57 
32.00, 5.66 
33.00, 5.74 
34.00, 5.83 
35.00, 5.92 
36.00, 6.00 
37.00, 6.08 
38.00, 6.16 
39.00, 6.24 
40.00, 6.32 
41.00, 6.40 
42.00, 6.48 
43.00, 6.56 
44.00, 6.63 
45.00, 6.71 
46.00, 6.78 
47.00, 6.86 
48.00, 6.93 
49.00, 7.00 
50.00, 7.07 
51.00, 7.14 
52.00, 7.21 
53.00, 7.28 
54.00, 7.35 
55.00, 7.42 
56.00, 7.48 
57.00, 7.55 
58.00, 7.62 
59.00, 7.68 
60.00, 7.75 
61.00, 7.81 
62.00, 7.87 
63.00, 7.94 
64.00, 8.00 
65.00, 8.06 
66.00, 8.12 
67.00, 8.19 
68.00, 8.25 
69.00, 8.31 
70.00, 8.37 
71.00, 8.43 
72.00, 8.49 
73.00, 8.54 
74.00, 8.60 
75.00, 8.66 
76.00, 8.72 
77.00, 8.77 
78.00, 8.83 
79.00, 8.89 
80.00, 8.94 
81.00, 9.00 
82.00, 9.06 
83.00, 9.11 
84.00, 9.17 
85.00, 9.22 
86.00, 9.27 
87.00, 9.33 
88.00, 9.38 
89.00, 9.43 
90.00, 9.49 
91.00, 9.54 
92.00, 9.59 
93.00, 9.64 
94.00, 9.70 
95.00, 9.75 
96.00, 9.80 
97.00, 9.85 
98.00, 9.90 
99.00, 9.95 
100.00, 10.00 
