-10.00, 10.00 
-8.50, 8.50 
-7.00, 7.00 
-5.50, 5.50 
-4.00, 4.00 
-2.50, 2.50 
-1.00, 1.00 
0.50, 0.50 
2.00, 2.00 
3.50, 3.50 
5.00, 5.00 
6.50, 6.50 
8.00, 8.00 
9.50, 9.50 
11.00, 11.00 
12.50, 12.50 
14.00, 14.00 
15.50, 15.50 
17.00, 17.00 
18.50, 18.50 
20.00, 20.00 
21.50, 21.50 
23.00, 23.00 
24.50, 24.50 
26.00, 26.00 
27.50, 27.50 
29.00, 29.00 
30.50, 30.50 
32.00, 32.00 
33.50, 33.50 
35.00, 35.00 
36.50, 36.50 
38.00, 38.00 
39.50, 39.50 
41.00, 41.00 
42.50, 42.50 
44.00, 44.00 
45.50, 45.50 
47.00, 47.00 
48.50, 48.50 
50.00, 50.00 
51.50, 51.50 
53.00, 53.00 
54.50, 54.50 
56.00, 56.00 
57.50, 57.50 
59.00, 59.00 
60.50, 60.50 
62.00, 62.00 
63.50, 63.50 
65.00, 65.00 
66.50, 66.50 
68.00, 68.00 
69.50, 69.50 
71.00, 71.00 
72.50, 72.50 
74.00, 74.00 
75.50, 75.50 
77.00, 77.00 
78.50, 78.50 
80.00, 80.00 
81.50, 81.50 
83.00, 83.00 
84.50, 84.50 
86.00, 86.00 
87.50, 87.50 
89.00, 89.00 
90.50, 90.50 
92.00, 92.00 
93.50, 93.50 
95.00, 95.00 
96.50, 96.50 
98.00, 98.00 
99.50, 99.50 
